City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,zaragoza,41.6561,-0.8773,11.68,69,0,7.2,ES,1683782583
189,ngaoundere,7.3167,13.5833,20.35,85,92,1.7,CM,1683782625
190,sumbawanga,-7.9667,31.6167,14.89,94,75,2.57,TZ,1683782625
191,tofol,5.3248,163.0078,28.91,74,100,2.95,FM,1683782626
192,caleta de carquin,-11.0925,-77.6267,21.28,86,61,3.21,PE,1683782627
193,san andres,12.5847,-81.7006,29.01,74,20,4.12,CO,1683782627
194,saint-philippe,-21.3585,55.7679,26.77,74,74,5.69,RE,1683782628
195,tubarjal,30.4999,38.216,27.28,17,71,8.71,SA,1683782629
196,cao bang,22.6667,106.25,24.07,93,99,1.71,VN,1683782630
197,conduaga,8.862,117.4893,30.93,66,85,2.6,PH,1683782631
198,shatrovo,56.5167,64.6333,13.41,26,58,2.14,RU,1683782631
199,umluj,25.0213,37.2685,27.08,32,0,1.72,SA,1683782632
200,kukawa,12.9234,13.5606,29.44,13,39,3.21,NG,1683782633
201,beyla,8.6833,-8.6333,20.99,90,100,1.51,GN,1683782634
202,freetown,8.484,-13.2299,25.84,83,75,4.63,SL,1683782635
203,le puy-en-velay,45.0437,3.8852,7.27,97,100,1.65,FR,1683782635
204,krasnoshchekovo,51.6708,82.7289,22.33,42,99,2.7,RU,1683782636
205,cobram,-35.9167,145.65,18.04,40,0,2.8,AU,1683782636
206,nar'yan-mar,67.6713,53.087,-0.4,83,61,4.72,RU,1683782637
207,saldanha,-33.0117,17.9442,15.03,85,100,2.07,ZA,1683782638
208,arauquita,7.0292,-71.4281,22.71,99,100,0.31,CO,1683782638
209,pyrzyce,53.1462,14.8926,13.0,74,93,5.14,PL,1683782639
210,lesnoy,57.6198,63.0784,10.46,63,41,4.1,RU,1683782639
211,tamanrasset,22.785,5.5228,20.1,24,99,8.56,DZ,1683782640
212,salahonda,2.1019,-78.7217,26.84,83,100,2.48,CO,1683782641
213,lompoc,34.6391,-120.4579,12.1,83,100,7.6,US,1683782641
214,vorgashor,67.5833,63.95,-6.68,90,71,1.91,RU,1683782642
215,mezhdurechensk,53.6942,88.0603,14.88,35,100,2.04,RU,1683782643
216,namibe,-15.1961,12.1522,22.88,73,4,2.16,AO,1683782643
217,fernie,49.5,-115.0687,7.11,83,98,1.03,CA,1683782644
218,constantia,44.1833,28.65,10.39,63,0,3.79,RO,1683782645
219,kapuskasing,49.4169,-82.4331,7.05,81,75,1.54,CA,1683782461
220,klaksvik,62.2266,-6.589,8.51,85,22,2.86,FO,1683782646
221,murzuq,25.9155,13.9184,16.91,56,0,3.47,LY,1683782647
222,savelugu,9.6244,-0.8253,27.19,69,47,4.8,GH,1683782648
223,myingyan,21.4667,95.3833,38.5,31,30,4.08,MM,1683782648
224,cantaura,9.3057,-64.3584,25.41,63,42,4.91,VE,1683782649
225,cabo san lucas,22.8909,-109.9124,24.23,56,13,5.44,MX,1683782650
226,samana,19.2056,-69.3369,23.91,90,95,2.34,DO,1683782650
227,nemuro,43.3236,145.575,4.41,81,79,6.81,JP,1683782651
228,egersund,58.4513,5.9997,11.16,97,100,1.78,NO,1683782536
229,vyksa,55.3175,42.1744,12.17,54,99,2.62,RU,1683782652
230,blagoveshchensk,50.2667,127.5333,25.34,14,0,2.0,RU,1683782653
231,anyksciai,55.5256,25.1026,10.34,64,19,1.76,LT,1683782654
232,montale,43.9356,11.0171,13.25,94,57,1.29,IT,1683782654
233,sevsk,52.1491,34.4926,8.81,60,47,2.77,RU,1683782655
234,urengoy,65.9667,78.3667,-7.98,74,69,6.9,RU,1683782655
235,la romana,18.4273,-68.9728,24.37,86,3,2.32,DO,1683782656
236,kenai,60.5544,-151.2583,11.05,56,100,7.2,US,1683782657
237,san miguel de salcedo,-1.0333,-78.5667,12.75,99,100,2.58,EC,1683782657
238,terenozek,45.05,64.9833,30.9,15,100,1.59,KZ,1683782658
239,mana,5.6592,-53.7767,23.76,94,100,1.69,GF,1683782659
240,isafjordur,66.0755,-23.124,5.51,90,20,1.69,IS,1683782659
241,flying fish cove,-10.4217,105.6791,27.82,89,100,7.2,CX,1683782660
242,naracoorte,-36.9579,140.7383,18.37,41,3,5.82,AU,1683782660
243,port lincoln,-34.7333,135.8667,18.61,46,100,8.37,AU,1683782661
244,ancud,-41.8697,-73.8203,12.79,97,96,4.82,CL,1683782662
245,tromso,69.6496,18.957,6.88,93,75,2.57,NO,1683782586
246,belyy yar,53.6039,91.3903,12.94,35,0,5.0,RU,1683782663
247,fiambala,-27.6871,-67.6149,15.11,53,1,0.71,AR,1683782664
248,ban karon,7.8477,98.2985,32.95,99,70,1.11,TH,1683782664
249,hatillo,18.4863,-66.8254,25.03,81,3,2.15,PR,1683782665
250,masterton,-40.9597,175.6575,8.27,89,100,3.73,NZ,1683782665
251,beidao,34.5686,105.8933,21.46,25,93,3.17,CN,1683782666
252,viedma,-40.8135,-62.9967,10.11,69,100,5.29,AR,1683782667
253,laojunmiao,39.8333,97.7333,15.85,14,31,6.65,CN,1683782667
254,holly,42.792,-83.6277,13.99,76,2,0.45,US,1683782623
255,bengkulu,-3.8004,102.2655,30.32,65,29,4.11,ID,1683782669
256,dayr hafir,36.1569,37.7078,24.34,30,93,2.14,SY,1683782669
257,burutu,5.3509,5.5076,26.38,88,95,2.02,NG,1683782670
258,twentynine palms,34.1356,-116.0542,20.63,34,0,1.34,US,1683782670
259,mata-utu,-13.2816,-176.1745,28.72,76,12,5.83,WF,1683782671
260,fuglafjordur,62.244,-6.814,8.26,87,29,3.02,FO,1683782672
261,mount gambier,-37.8333,140.7667,17.51,50,5,4.54,AU,1683782672
262,inirida,3.8653,-67.9239,21.98,99,100,0.85,CO,1683782673
263,bereznik,62.8551,42.7072,12.68,60,68,2.32,RU,1683782673
264,banda aceh,5.5577,95.3222,30.86,62,93,2.03,ID,1683782674
265,tughyl,47.7252,84.2063,17.56,42,100,4.79,KZ,1683782674
266,sakiai,54.9547,23.0358,9.61,71,12,2.66,LT,1683782675
267,makubetsu,45.3714,141.8211,7.84,61,75,6.17,JP,1683782676
268,uturoa,-16.7333,-151.4333,26.94,80,89,11.0,PF,1683782676
269,andergrove,-21.0833,149.1833,26.47,70,26,6.11,AU,1683782677
270,fengxiang,47.5833,130.8333,21.32,15,60,2.09,CN,1683782677
271,pasuquin,18.3328,120.6177,32.97,58,20,4.12,PH,1683782595
272,haiku-pauwela,20.9219,-156.3051,22.25,86,40,7.72,US,1683782679
273,mitsamiouli,-11.3847,43.2844,27.04,69,2,1.64,KM,1683782679
274,chibougamau,49.9168,-74.3659,8.79,57,0,2.57,CA,1683782680
275,happy valley-goose bay,53.3168,-60.3315,-0.83,64,75,2.06,CA,1683782680
276,ugoofaaru,5.6667,73.0,28.39,78,100,4.78,MV,1683782475
277,barcelos,41.5388,-8.6151,11.58,87,61,2.97,PT,1683782681
278,pakruojis,55.9667,23.8667,12.44,66,67,2.38,LT,1683782682
279,colonia,50.9333,6.95,13.31,89,100,0.0,DE,1683782482
280,suntar,62.1444,117.6319,5.25,46,100,2.59,RU,1683782683
281,qamdo,31.1667,97.2333,7.76,28,84,2.72,CN,1683782684
282,nha trang,12.25,109.1833,34.0,73,98,3.59,VN,1683782684
283,jabor,5.921,169.6434,28.34,80,100,7.03,MH,1683782685
284,andrushivka,50.0229,29.0202,7.83,68,20,2.3,UA,1683782685
285,samitah,16.596,42.9444,30.35,69,68,1.0,SA,1683782686
286,helena valley west central,46.6629,-112.0604,12.27,67,100,1.34,US,1683782687
287,kurumkan,54.3,110.3,10.22,57,100,4.38,RU,1683782687
288,lobito,-12.3481,13.5456,24.9,84,34,1.59,AO,1683782688
289,sabang,5.8933,95.3214,28.82,69,93,1.32,ID,1683782688
290,sos'va,59.1766,61.8558,9.04,50,66,2.77,RU,1683782689
291,carutapera,-1.195,-46.02,24.24,94,81,1.6,BR,1683782690
292,timbuktu,16.7735,-3.0074,29.13,11,100,4.71,ML,1683782691
293,arteche,12.2645,125.4048,28.34,84,97,3.13,PH,1683782691
294,sultanah,24.4926,39.5857,29.25,11,0,1.03,SA,1683782692
295,minas de marcona,-15.2119,-75.1103,14.32,88,45,4.73,PE,1683782692
296,ceres,37.5949,-120.9577,14.99,71,0,4.12,US,1683782693
297,askoy,60.4092,5.226,10.01,97,75,1.03,NO,1683782694
298,rosetta,31.4044,30.4164,20.42,72,70,4.09,EG,1683782694
299,oyama,36.3,139.8,21.99,31,30,3.8,JP,1683782695
300,sisimiut,66.9395,-53.6735,-2.79,76,70,6.12,GL,1683782695
301,woods creek,47.8787,-121.8985,14.68,73,38,0.89,US,1683782696
302,revda,56.801,59.9303,12.01,45,93,2.04,RU,1683782697
303,trondheim,63.4305,10.3951,9.03,88,15,0.58,NO,1683782697
304,tarancon,40.0085,-3.0073,7.15,64,94,2.94,ES,1683782698
305,ramos arizpe,25.55,-100.9667,22.75,29,0,0.0,MX,1683782403
306,dabakala,8.3667,-4.4333,23.61,88,98,1.85,CI,1683782699
307,vilyuchinsk,52.9306,158.4028,6.15,90,100,4.38,RU,1683782700
308,california,38.3004,-76.5074,16.48,87,0,2.57,US,1683781917
309,khandud,36.9513,72.318,6.23,33,1,1.45,AF,1683782701
310,bamboo flat,11.7,92.7167,31.05,70,75,4.12,IN,1683782701
311,houlton,46.1262,-67.8403,11.23,50,0,2.57,US,1683782702
312,puerto baquerizo moreno,-0.9,-89.6,26.07,87,92,3.7,EC,1683782703
313,gazipasa,36.2694,32.3179,18.05,77,40,1.54,TR,1683782703
314,zimovniki,47.1483,42.4633,8.38,84,91,4.96,RU,1683782704
315,colares,38.7992,-9.4469,15.61,75,0,6.26,PT,1683782705
316,dunay,42.8803,132.3375,9.44,69,0,4.46,RU,1683782705
317,crane,31.3974,-102.3501,25.25,56,1,10.39,US,1683782706
318,kayangel,8.0823,134.7173,29.17,68,100,1.23,PW,1683782707
319,cidreira,-30.1811,-50.2056,14.25,80,6,4.09,BR,1683782707
320,kangding,30.0513,101.9603,7.82,89,98,3.16,CN,1683782708
321,inderbor,48.55,51.7833,17.67,52,85,3.92,KZ,1683782416
322,porto novo,6.4965,2.6036,27.3,83,95,2.92,BJ,1683782709
323,vallenar,-28.5708,-70.7581,17.84,60,76,0.69,CL,1683782710
324,ta`u,-14.2336,-169.5144,27.53,72,10,6.77,AS,1683782711
325,kingston,17.997,-76.7936,27.53,82,20,6.69,JM,1683782711
326,ma'an,26.9775,110.7211,14.81,91,100,1.79,CN,1683782712
327,novaya igirma,57.1334,103.9112,9.16,32,50,2.67,RU,1683782713
328,bel ombre,-4.6167,55.4167,28.91,74,20,6.17,SC,1683782713
329,altar,30.7,-111.8167,18.54,23,0,1.75,MX,1683782714
330,saint-felix-de-valois,46.1668,-73.4324,14.18,57,43,0.45,CA,1683782714
331,kisangani,0.5167,25.2,21.28,96,57,0.35,CD,1683782715
332,port blair,11.6667,92.75,31.02,70,75,4.12,IN,1683782716
333,waddan,29.1614,16.139,16.08,83,68,7.69,LY,1683782716
334,owando,-0.4819,15.8999,21.28,92,34,0.6,CG,1683782717
335,pangody,65.85,74.4859,-9.51,80,19,5.33,RU,1683782717
336,hammerfest,70.6634,23.6821,5.25,100,75,2.57,NO,1683782633
337,bich'vinta,43.1592,40.3378,11.1,91,100,3.19,GE,1683782719
338,ojinaga,29.5667,-104.4167,24.53,15,0,3.6,MX,1683782719
339,bardai,11.65,7.2333,25.24,61,93,6.38,NG,1683782720
340,remire-montjoly,4.9167,-52.2667,24.02,100,100,1.03,GF,1683782720
341,ke-macina,13.9623,-5.3572,31.28,13,98,3.71,ML,1683782721
342,kapa'a,22.0752,-159.319,24.99,85,100,5.66,US,1683782439
343,coquimbo,-29.9533,-71.3436,12.85,94,100,1.54,CL,1683782534
344,bridlington,54.0831,-0.1919,11.61,93,34,0.89,GB,1683782723
345,sal rei,16.1833,-22.9167,21.58,86,8,7.31,CV,1683782724
346,altai,46.3722,96.2583,11.06,34,5,4.95,MN,1683782474
347,san patricio,28.017,-97.5169,26.97,93,25,5.32,US,1683782725
348,noumea,-22.2763,166.4572,24.44,99,100,6.55,NC,1683782726
349,xai-xai,-25.0519,33.6442,18.97,79,37,1.78,MZ,1683782726
350,sirte,31.2089,16.5887,17.87,91,17,7.13,LY,1683782727
351,genhe,50.7833,121.5167,22.36,15,100,4.21,CN,1683782728
352,alaghsas,17.0187,8.0168,29.94,21,55,7.2,NE,1683782728
353,raduzhny,62.0961,77.475,0.21,67,100,5.0,RU,1683782729
354,kavieng,-2.5744,150.7967,28.99,73,52,0.35,PG,1683782729
355,bowen,-20.0167,148.2333,25.13,61,80,8.07,AU,1683782730
356,axim,4.8699,-2.2405,26.86,82,100,2.55,GH,1683782731
357,uacu cungo,-11.3634,15.1208,12.1,69,2,1.51,AO,1683782731
358,naze,28.3667,129.4833,22.51,54,83,3.5,JP,1683782732
359,prince rupert,54.3161,-130.3201,10.83,79,75,6.69,CA,1683782732
360,petrovskaya,45.4314,37.955,11.16,65,21,1.64,RU,1683782733
361,amga,60.8953,131.9608,4.88,67,100,1.67,RU,1683782733
362,ketchikan,55.3422,-131.6461,11.26,71,75,7.72,US,1683782734
363,tisul',55.7611,88.3122,13.64,28,100,2.37,RU,1683782735
364,selfoss,63.9331,-20.9971,7.25,82,30,1.44,IS,1683782736
365,acajutla,13.5928,-89.8275,27.91,78,98,3.55,SV,1683782736
366,kula,38.5473,28.6498,14.02,10,85,25.93,TR,1683782521
